id_proyecto,nombre_proyecto,id_cliente,fecha_inicio_estimada,fecha_fin_estimada,fecha_inicio_real,fecha_fin_real,estado,presupuesto_estimado,presupuesto_real,valor_venta,ganancias,horas_estimadas,horas_totales,prioridad,id_metodologia
53,Proy-2016-modifica,12,2016-07-04,2017-02-06,2016-07-07,2017-02-08,finalizado,583296,716940,808162.89,91222.89,13888,17070,baja,5
54,Proy-2019-evoluciona,19,2019-08-18,2019-12-29,2019-08-28,2020-02-12,finalizado,204288,213312,288154.73,74842.73,4256,4444,media,1
55,Proy-2017-explota,17,2017-05-26,2018-02-22,2017-05-29,2018-03-24,finalizado,287232,338184,447008.74,108824.74,6528,7686,alta,3
56,Proy-2017-evoluciona,5,2017-06-11,2018-03-25,2017-06-19,2018-06-28,finalizado,505120,552948,735725.88,182777.88,11480,12567,alta,3
57,Proy-2025-mejora,3,2025-06-28,2026-05-19,2025-06-24,2026-07-24,finalizado,468000,570300,648521.14,78221.14,7800,9505,alta,1
58,Proy-2021-fortalece,9,2021-09-30,2022-05-01,2021-10-04,2022-07-14,finalizado,265824,310336,393730.25,83394.25,5112,5968,media,5
59,Proy-2021-crece,18,2021-08-29,2022-05-25,2021-09-08,2022-09-04,finalizado,783328,799656,1034365.94,234709.94,15064,15378,alta,5
60,Proy-2018-monetiza,17,2018-08-10,2018-09-26,2018-08-10,2018-09-25,finalizado,86480,95542,130752.91,35210.91,1880,2077,alta,2
61,Proy-2016-agrega,11,2016-07-28,2016-09-08,2016-07-28,2016-09-18,finalizado,98784,90930,131465.22,40535.22,2352,2165,media,5
62,Proy-2021-sintetiza,4,2021-03-24,2021-07-21,2021-03-31,2021-09-02,finalizado,198016,212992,286488.27,73496.27,3808,4096,alta,5
63,Proy-2021-crea,3,2021-01-05,2021-07-24,2021-01-01,2021-09-18,finalizado,416000,426504,585762.91,159258.91,8000,8202,alta,2
64,Proy-2024-recontextualiza,8,2024-10-15,2024-12-27,2024-10-14,2025-01-01,finalizado,169360,187630,242642.48,55012.48,2920,3235,media,5
65,Proy-2021-habilita,14,2021-02-07,2021-07-25,2021-02-14,2021-07-18,cancelado,279552,0,410029.49,0.0,5376,0,baja,1
66,Proy-2016-optimiza,6,2016-09-14,2017-01-13,2016-09-13,2017-01-11,finalizado,284592,275814,387184.58,111370.58,6776,6567,alta,4
67,Proy-2023-agrega,17,2023-02-03,2023-09-13,2023-02-05,2023-10-26,finalizado,497280,569464,759971.17,190507.17,8880,10169,alta,1
68,Proy-2020-mezcla,12,2020-04-03,2021-01-14,2020-04-10,2021-01-29,finalizado,915200,947000,1303614.6,356614.6,18304,18940,baja,4
69,Proy-2019-sintetiza,16,2019-10-01,2020-09-05,2019-10-04,2020-09-29,finalizado,1044480,1306464,1598827.08,292363.08,21760,27218,alta,2
70,Proy-2019-genera,19,2019-06-20,2019-11-05,2019-06-18,2019-11-12,finalizado,423936,481824,618322.29,136498.29,8832,10038,media,5
71,Proy-2023-genera,2,2023-04-24,2024-02-12,2023-04-22,2024-04-30,finalizado,658560,719040,892292.13,173252.13,11760,12840,media,3
72,Proy-2019-modifica,16,2019-05-31,2019-10-09,2019-05-28,2019-11-03,finalizado,150912,151440,219206.29,67766.29,3144,3155,baja,5
73,Proy-2017-facilita,2,2017-09-11,2017-11-07,2017-09-06,2017-11-04,finalizado,120384,128612,184570.05,55958.05,2736,2923,media,4
74,Proy-2020-reinventa,7,2020-01-10,2020-03-11,2020-01-11,2020-04-04,finalizado,146400,172650,201961.35,29311.35,2928,3453,media,5
75,Proy-2024-entrega,6,2024-07-30,2025-01-28,2024-07-26,2025-01-12,finalizado,422240,453908,596594.61,142686.61,7280,7826,baja,4
76,Proy-2016-incuba,5,2016-10-17,2017-05-17,2016-10-27,2017-07-26,finalizado,427392,418530,633097.79,214567.79,10176,9965,alta,2
77,Proy-2020-entrega,2,2020-08-02,2021-04-24,2020-08-10,2021-07-07,finalizado,636000,701600,967295.68,265695.68,12720,14032,alta,4
78,Proy-2021-empodera,12,2021-01-29,2021-03-20,2021-01-29,2021-04-07,finalizado,104000,131820,146627.37,14807.37,2000,2535,media,4
79,Proy-2022-abraza,2,2022-03-20,2022-09-05,2022-03-25,2022-09-24,finalizado,438048,456732,655767.94,199035.94,8112,8458,alta,5
80,Proy-2018-explota,18,2018-04-01,2019-03-07,2018-04-11,2019-06-07,finalizado,625600,637330,861678.9,224348.9,13600,13855,media,2
81,Proy-2018-revoluciona,7,2018-08-19,2019-06-12,2018-08-28,2019-08-06,finalizado,765072,757850,1013405.31,255555.31,16632,16475,media,1
82,Proy-2019-cultiva,6,2019-07-13,2020-05-01,2019-07-18,2020-06-30,finalizado,900096,1154976,1374207.32,219231.32,18752,24062,media,3
83,Proy-2024-entrega,3,2024-01-22,2024-04-18,2024-01-18,2024-04-28,finalizado,201840,215586,269567.01,53981.01,3480,3717,alta,3
84,Proy-2016-transiciona,10,2016-11-21,2017-01-11,2016-11-30,2017-01-21,finalizado,119952,140910,172942.03,32032.03,2856,3355,baja,5
85,Proy-2021-monetiza,13,2021-12-24,2022-12-12,2021-12-21,2023-01-14,finalizado,1027936,961584,1451122.97,489538.97,19768,18492,alta,5
86,Proy-2020-implementa,19,2020-04-30,2021-03-28,2020-05-07,2021-06-11,finalizado,398400,419750,588076.8,168326.8,7968,8395,alta,2
87,Proy-2018-mezcla,17,2018-03-13,2018-11-11,2018-03-09,2018-11-30,finalizado,625968,614146,976427.83,362281.83,13608,13351,media,3
88,Proy-2017-incentiva,4,2017-05-30,2018-01-05,2017-05-28,2018-01-22,finalizado,464640,486288,616893.35,130605.35,10560,11052,baja,4
89,Proy-2018-incentiva,10,2018-05-28,2018-11-25,2018-06-02,2018-12-25,finalizado,199824,241592,305307.84,63715.84,4344,5252,media,5
90,Proy-2018-explota,18,2018-12-25,2019-07-11,2019-01-03,2019-07-01,finalizado,532224,589104,776918.57,187814.57,11088,12273,alta,3
91,Proy-2018-itera,3,2018-12-09,2019-04-21,2018-12-09,2019-05-09,finalizado,244720,220570,343642.43,123072.43,5320,4795,media,3
92,Proy-2016-visualiza,2,2016-10-04,2017-05-15,2016-09-29,2017-06-24,finalizado,224784,281484,333494.4,52010.4,5352,6702,alta,5
93,Proy-2019-evoluciona,2,2019-05-08,2019-12-08,2019-05-15,2020-02-13,finalizado,575232,658512,762521.3,104009.3,11984,13719,alta,2
94,Proy-2017-sintetiza,17,2017-06-12,2017-11-06,2017-06-14,2018-01-01,finalizado,362208,362604,493101.04,130497.04,8232,8241,alta,3
95,Proy-2018-cultiva,15,2018-05-25,2018-09-13,2018-06-02,2018-11-03,finalizado,122544,155204,195554.92,40350.92,2664,3374,alta,2
96,Proy-2024-visualiza,14,2024-03-01,2024-06-01,2024-02-26,2024-05-30,finalizado,170752,198824,263097.52,64273.52,2944,3428,alta,3
97,Proy-2024-sintetiza,17,2024-04-20,2024-10-04,2024-04-27,2024-11-20,finalizado,542416,592934,859957.75,267023.75,9352,10223,media,5
98,Proy-2017-entrega,12,2017-04-21,2017-11-25,2017-04-28,2018-02-07,finalizado,383680,448272,612693.55,164421.55,8720,10188,media,3
99,Proy-2023-facilita,2,2023-03-10,2023-08-29,2023-03-19,2023-09-19,finalizado,462336,579040,705590.85,126550.85,8256,10340,alta,4
100,Proy-2023-explota,2,2023-05-11,2023-12-06,2023-05-12,2023-12-16,finalizado,374528,403424,527632.43,124208.43,6688,7204,alta,1
101,Proy-2020-evoluciona,13,2020-03-27,2021-03-16,2020-04-04,2021-04-27,finalizado,991200,1227350,1468759.35,241409.35,19824,24547,media,5
102,Proy-2022-extiende,20,2022-11-02,2023-10-18,2022-10-28,2024-01-23,finalizado,907200,1019088,1203101.42,184013.42,16800,18872,alta,5
103,Proy-2019-agrega,10,2019-01-12,2019-12-01,2019-01-11,2019-12-13,finalizado,496128,477456,731911.64,254455.64,10336,9947,alta,5
104,Proy-2017-redefine,6,2017-12-12,2018-01-31,2017-12-22,2018-02-18,finalizado,140800,132264,218395.92,86131.92,3200,3006,baja,1
105,Proy-2016-mejora,13,2016-05-31,2016-12-07,2016-06-02,2017-01-27,finalizado,510720,590940,695035.97,104095.97,12160,14070,baja,3
106,Proy-2017-habilita,13,2017-01-26,2017-06-08,2017-01-28,2017-05-02,cancelado,140448,0,222477.77,0.0,3192,0,baja,4
107,Proy-2024-empodera,13,2024-09-16,2024-11-21,2024-09-21,2024-11-27,finalizado,244992,314012,384466.17,70454.17,4224,5414,alta,2
108,Proy-2025-sintetiza,13,2025-04-26,2026-03-26,2025-04-25,2026-03-02,finalizado,801600,935580,1161685.65,226105.65,13360,15593,alta,4
109,Proy-2021-facilita,13,2021-02-19,2021-10-02,2021-02-18,2021-10-16,finalizado,280800,320424,429341.33,108917.33,5400,6162,baja,1
110,Proy-2015-innova,7,2015-12-12,2016-08-02,2015-12-17,2016-08-18,finalizado,449280,498800,607375.14,108575.14,11232,12470,alta,5
111,Proy-2019-utiliza,8,2019-03-20,2019-06-27,2019-03-17,2019-06-29,finalizado,266112,341712,369312.5,27600.5,5544,7119,alta,2
112,Proy-2021-empodera,11,2021-09-24,2022-04-30,2021-10-01,2022-07-08,finalizado,453440,442208,605370.87,163162.87,8720,8504,baja,4
113,Proy-2020-monetiza,3,2020-06-07,2020-12-09,2020-06-03,2020-11-18,finalizado,370000,457650,503818.28,46168.28,7400,9153,baja,3
114,Proy-2022-integra,16,2022-11-09,2023-08-23,2022-11-13,2023-09-08,finalizado,371952,434214,576463.35,142249.35,6888,8041,baja,4
115,Proy-2024-revoluciona,3,2024-08-26,2024-09-28,2024-08-31,2024-09-25,cancelado,45936,0,62261.94,0.0,792,0,media,1
116,Proy-2019-transforma,2,2019-09-17,2020-05-19,2019-09-15,2020-04-29,finalizado,470400,554544,674794.38,120250.38,9800,11553,media,2
117,Proy-2024-implementa,6,2024-07-30,2024-10-26,2024-08-09,2024-11-30,finalizado,244992,286288,389896.79,103608.79,4224,4936,media,2
118,Proy-2019-extiende,12,2019-01-07,2019-08-05,2019-01-03,2019-08-08,finalizado,241920,290352,381064.84,90712.84,5040,6049,baja,4
119,Proy-2018-transiciona,6,2018-10-05,2019-09-08,2018-10-13,2019-09-11,finalizado,497536,541696,691144.0,149448.0,10816,11776,media,5
120,Proy-2017-incuba,5,2017-09-22,2018-04-07,2017-09-21,2018-03-31,finalizado,208032,189376,331580.69,142204.69,4728,4304,alta,4
121,Proy-2017-sinergiza,12,2017-06-06,2017-07-28,2017-06-03,2017-08-12,finalizado,91520,96580,144320.78,47740.78,2080,2195,baja,4
122,Proy-2018-transiciona,8,2018-01-24,2018-12-22,2018-01-30,2019-01-18,finalizado,366528,390264,534047.32,143783.32,7968,8484,baja,1
123,Proy-2019-revoluciona,15,2019-09-18,2019-12-15,2019-09-21,2019-12-21,finalizado,202752,227712,292515.42,64803.42,4224,4744,media,3
124,Proy-2018-modifica,8,2018-02-14,2019-02-07,2018-02-19,2019-04-06,finalizado,922208,873264,1411295.18,538031.18,20048,18984,media,5
125,Proy-2020-modifica,10,2020-08-01,2021-06-30,2020-07-27,2021-08-28,finalizado,799200,954250,1193076.96,238826.96,15984,19085,media,4
126,Proy-2024-innova,14,2024-04-21,2024-06-30,2024-04-30,2024-07-20,finalizado,259840,253692,388017.88,134325.88,4480,4374,media,1
127,Proy-2019-incuba,16,2019-12-06,2020-02-26,2019-12-16,2020-03-28,finalizado,188928,211872,259764.42,47892.42,3936,4414,alta,2
128,Proy-2019-reinventa,15,2019-11-14,2020-01-05,2019-11-24,2020-01-27,finalizado,139776,166320,204149.49,37829.49,2912,3465,baja,4
129,Proy-2020-evoluciona,9,2020-01-17,2021-01-06,2020-01-21,2021-01-03,finalizado,426000,396350,578882.14,182532.14,8520,7927,baja,4
130,Proy-2022-abraza,9,2022-09-18,2022-12-21,2022-09-20,2023-01-22,finalizado,121824,141750,171991.81,30241.81,2256,2625,baja,5
131,Proy-2016-escala,2,2016-03-19,2016-09-10,2016-03-18,2016-10-30,finalizado,235200,217308,311433.93,94125.93,5600,5174,media,4
132,Proy-2017-facilita,5,2017-05-16,2017-12-18,2017-05-21,2017-12-05,finalizado,456192,533016,666521.99,133505.99,10368,12114,baja,4
133,Proy-2019-utiliza,5,2019-11-14,2020-08-22,2019-11-16,2020-08-02,finalizado,541440,619680,781904.53,162224.53,11280,12910,alta,5
134,Proy-2019-empodera,12,2019-02-27,2019-06-25,2019-03-06,2019-08-13,finalizado,226560,288432,357641.41,69209.41,4720,6009,media,1
135,Proy-2016-incuba,2,2016-01-01,2016-11-04,2016-01-07,2017-02-04,finalizado,517440,564354,818159.65,253805.65,12320,13437,alta,3
136,Proy-2018-optimiza,1,2018-05-30,2018-07-16,2018-06-02,2018-07-20,finalizado,138368,130502,187415.31,56913.31,3008,2837,baja,5
137,Proy-2021-incuba,12,2021-06-15,2022-03-29,2021-06-14,2022-03-09,cancelado,477568,0,741362.58,0.0,9184,0,baja,2
138,Proy-2018-integra,2,2018-03-19,2018-10-02,2018-03-27,2018-10-30,finalizado,434976,437000,630666.97,193666.97,9456,9500,baja,4
139,Proy-2025-transiciona,12,2025-06-26,2026-01-04,2025-06-25,,en curso,737280,0,1122994.27,0.0,12288,0,media,1
140,Proy-2023-escala,3,2023-08-28,2023-11-10,2023-08-29,2023-11-06,finalizado,132608,128800,208431.88,79631.88,2368,2300,media,2
141,Proy-2016-sinergiza,10,2016-02-15,2016-06-14,2016-02-15,2016-07-04,finalizado,201600,219912,277817.4,57905.4,4800,5236,media,1
142,Proy-2016-redefine,11,2016-11-03,2017-07-26,2016-10-31,2017-10-12,finalizado,356160,436296,538766.55,102470.55,8480,10388,media,4
143,Proy-2024-entrega,5,2024-11-17,2025-01-26,2024-11-24,2025-02-22,finalizado,259840,283446,351122.13,67676.13,4480,4887,media,2
144,Proy-2016-mejora,4,2016-01-08,2016-12-31,2016-01-04,2016-03-11,cancelado,481152,0,654423.15,0.0,11456,0,baja,1
145,Proy-2021-sinergiza,18,2021-04-25,2021-07-24,2021-04-28,2021-08-04,finalizado,187200,207532,256746.23,49214.23,3600,3991,alta,2
146,Proy-2024-redefine,9,2024-01-14,2024-03-28,2024-01-14,2024-04-03,finalizado,206016,267380,286801.04,19421.04,3552,4610,alta,3
147,Proy-2018-reinventa,6,2018-05-19,2019-02-18,2018-05-26,2019-04-16,finalizado,506000,521916,783179.0,261263.0,11000,11346,baja,3
148,Proy-2024-transforma,5,2024-11-16,2025-05-02,2024-11-12,2025-05-02,finalizado,542416,682080,845668.98,163588.98,9352,11760,alta,5
149,Proy-2025-extiende,5,2025-09-07,2026-05-01,2025-09-07,,en curso,453120,0,707700.11,0.0,7552,0,alta,1
150,Proy-2022-recontextualiza,6,2022-07-04,2023-02-15,2022-07-02,2022-12-22,cancelado,390528,0,544551.0,0.0,7232,0,media,2
151,Proy-2019-innova,8,2019-11-25,2020-07-26,2019-11-22,2020-10-04,finalizado,749568,822672,1124866.41,302194.41,15616,17139,alta,3
152,Proy-2025-libera,5,2025-03-21,2025-04-29,2025-03-26,2025-05-14,finalizado,93600,98460,134715.92,36255.92,1560,1641,media,2
153,Proy-2015-crece,17,2015-12-07,2016-09-21,2015-12-11,2016-11-07,finalizado,462400,594280,705963.06,111683.06,11560,14857,baja,5
154,Proy-2021-compromete,1,2021-07-23,2021-10-19,2021-07-29,2021-11-03,finalizado,109824,129064,161892.26,32828.26,2112,2482,media,4
155,Proy-2017-innova,1,2017-01-04,2017-03-31,2017-01-11,2017-04-17,finalizado,121088,153692,164195.45,10503.45,2752,3493,media,3
156,Proy-2018-escala,11,2018-11-04,2019-10-02,2018-11-06,2020-01-10,finalizado,977408,980352,1385747.22,405395.22,21248,21312,baja,5
157,Proy-2018-habilita,12,2018-04-14,2019-03-09,2018-04-11,2019-06-17,finalizado,605360,611340,834152.39,222812.39,13160,13290,baja,2
158,Proy-2024-mezcla,17,2024-08-28,2025-02-22,2024-08-31,2025-03-28,finalizado,330368,344694,465501.62,120807.62,5696,5943,baja,2
159,Proy-2021-mezcla,2,2021-03-18,2021-09-29,2021-03-13,2021-10-07,finalizado,324480,341276,466179.59,124903.59,6240,6563,baja,3
160,Proy-2019-facilita,13,2019-02-24,2020-02-11,2019-02-19,2020-05-01,finalizado,405504,423264,537015.61,113751.61,8448,8818,alta,4
161,Proy-2016-maximiza,12,2016-09-06,2017-08-08,2016-09-01,2017-06-14,cancelado,451584,0,684055.62,0.0,10752,0,baja,2
162,Proy-2022-transiciona,1,2022-01-07,2022-03-24,2022-01-07,2022-04-10,finalizado,262656,261306,389063.4,127757.4,4864,4839,baja,3
163,Proy-2024-empodera,10,2024-11-29,2025-09-22,2024-12-05,,en curso,826848,0,1169853.28,0.0,14256,0,baja,2
164,Proy-2017-utiliza,19,2017-10-17,2018-07-10,2017-10-20,2018-06-19,finalizado,561792,725736,841753.55,116017.55,12768,16494,media,5
165,Proy-2022-recontextualiza,1,2022-12-04,2023-03-24,2022-12-14,2023-05-12,finalizado,380160,461592,520979.76,59387.76,7040,8548,baja,1
166,Proy-2016-compromete,10,2016-05-26,2017-03-05,2016-06-01,2016-09-25,cancelado,665616,0,967266.02,0.0,15848,0,alta,4
167,Proy-2020-transiciona,7,2020-11-11,2021-05-09,2020-11-06,2021-06-25,finalizado,501200,627600,754974.67,127374.67,10024,12552,media,1
168,Proy-2018-redefine,17,2018-05-02,2018-11-16,2018-05-04,2018-11-29,finalizado,364320,370070,551180.61,181110.61,7920,8045,baja,5
169,Proy-2019-itera,1,2019-10-19,2020-06-07,2019-10-23,2020-08-20,finalizado,712704,663456,932663.07,269207.07,14848,13822,baja,4
170,Proy-2016-mezcla,12,2016-11-07,2017-06-27,2016-11-04,2017-09-22,finalizado,389760,495012,576632.28,81620.28,9280,11786,media,4
171,Proy-2019-entrega,16,2019-01-09,2019-10-29,2019-01-08,2019-05-07,cancelado,675072,0,1009578.07,0.0,14064,0,alta,4
172,Proy-2016-innova,20,2016-06-19,2016-09-30,2016-06-25,2016-10-13,finalizado,276864,338520,441797.68,103277.68,6592,8060,media,3
173,Proy-2017-compromete,7,2017-03-10,2017-04-13,2017-03-11,2017-04-13,finalizado,71808,81224,107403.87,26179.87,1632,1846,baja,4
174,Proy-2019-innova,11,2019-12-13,2020-10-21,2019-12-09,2021-01-08,finalizado,721152,814416,1089593.08,275177.08,15024,16967,media,1
175,Proy-2016-modifica,3,2016-09-26,2017-01-17,2016-10-06,2017-01-29,finalizado,227808,278082,353102.82,75020.82,5424,6621,media,4
176,Proy-2025-incuba,8,2025-04-16,2025-05-30,2025-04-25,2025-06-04,finalizado,168960,218040,231913.92,13873.92,2816,3634,alta,5
177,Proy-2025-reinventa,6,2025-02-20,2025-11-09,2025-02-28,,planificado,754560,0,1011075.87,0.0,12576,0,media,4
178,Proy-2021-extiende,10,2021-03-10,2021-12-31,2021-03-18,2022-03-10,finalizado,738816,744588,1069604.17,325016.17,14208,14319,alta,4
179,Proy-2016-transforma,17,2016-01-21,2016-12-29,2016-01-24,2017-03-02,finalizado,806736,1044078,1159891.06,115813.06,19208,24859,media,1
180,Proy-2018-entrega,9,2018-10-24,2019-07-20,2018-10-19,2019-06-25,finalizado,692944,771696,1018808.48,247112.48,15064,16776,media,3
181,Proy-2020-compromete,11,2020-12-25,2021-07-14,2020-12-30,2021-08-03,finalizado,321600,374050,423907.15,49857.15,6432,7481,media,3
182,Proy-2024-revoluciona,2,2024-07-17,2025-04-05,2024-07-15,2025-04-30,finalizado,729408,739210,1124472.68,385262.68,12576,12745,media,3
183,Proy-2021-implementa,8,2021-09-19,2022-07-27,2021-09-28,2022-10-16,finalizado,776256,986024,1013410.88,27386.88,14928,18962,baja,3
184,Proy-2017-libera,3,2017-10-28,2018-01-13,2017-10-23,2018-01-27,finalizado,162624,178728,235444.65,56716.65,3696,4062,media,3
